uid,acro,name
an,AN ,
ap,Ap ,
arv,Arv ,
avs,Avs ,
cv,Cv ,
da,DA ,
dhp,Dhp ,
divy,Divy ,
dn,DN ,
dq,D ,
ea,EA ,
gf,Gandh ,
it,It ,
ja,Ja ,
kf,Khot ,
kp,Khp ,
lal,Lal ,
ma,MA ,
mn,MN ,
mv,Mv ,
mvu,Mvu,
patisii,Patis ,
pf,Prak ,
sa,SA ,
sa-2,SA-2 ,
sa-3,SA-3 ,
sbv,Sbv ,
sf,SF ,
sht,SHT ,
sn,SN ,
snp,Snp ,
svbh,Svbh ,
t,T ,
tib,Tib ,
ud,Ud ,
uf,Uigh ,
up,Up ,
uv,UV ,
pi,Pi,Pāli
zh,Zh,Chinese
tv,Tv,Theravāda
bu,Bu,Bhikkhu
bi,Bi,Bhikkhunī
vb,Vb,Vibhaṅga
pm,Pm,Pātimokkha
pvr,Pvr,Parivāra
sv,Sv,Sarvāstivāda
tf,Tf,Turfan
finot,Finot,Finot
mu,Mu,Mūlasarvāstivāda
bo,Bo,Tibetan
mbt,Mbt,Mahāvyutpatti
mi,Mi,Mahīśāsaka
mg,Mg,Mahāsaṅghika
lo,Lo,Lokuttaravāda
dg,Dg,Dharmaguptaka
ka,Ka,Kāśyapīya
upali,Upali,Upāliparipṛcchā
gr,Gr,Gāndhārī
bf,Bf,Bajaur
qizil,Qizil,Qizil
su,Su,Suttas
vi,Vi,Vinaya
pj,Pj,Pārājika
ss,Ss,Saṅghādisesā
an,An,Aniyatā
np,NP,Nissaggiyā Pācittiyā
pc,Pc,Pācittiyā
pd,Pd,Pāṭidesanīyā
sk,Sk,Sekhiyā
as,As,Adhikaraṇasamathā
